	Start Time	End Time	Trip Duration	Start Station	End Station	User Type	Gender	Birth Year
642530	1/28/2017 16:32	1/28/2017 16:53	1284	Cathedral Pkwy & Broadway	Central Park S & 6 Ave	Subscriber	Male	1974
5630375	6/10/2017 14:03	6/10/2017 14:05	76	Bayard St & Baxter St	Bayard St & Baxter St	Customer		
5481113	6/8/2017 7:25	6/8/2017 7:31	328	Driggs Ave & N Henry St	N 8 St & Driggs Ave	Subscriber	Female	1986
3873453	5/7/2017 10:50	5/7/2017 10:56	382	Perry St & Bleecker St	8 Ave & W 31 St	Subscriber	Male	1993
2567503	4/10/2017 7:32	4/10/2017 7:41	526	Broadway & E 22 St	Pershing Square South	Subscriber	Male	1974
6432811	6/24/2017 19:13	6/24/2017 19:18	308	Carmine St & 6 Ave	W 13 St & 7 Ave	Subscriber	Male	1987
1909858	3/20/2017 9:08	3/20/2017 9:13	314	Fulton St & Clermont Ave	Hanson Pl & Ashland Pl	Subscriber	Male	1968
4989575	5/30/2017 10:12	5/30/2017 10:26	854	W 26 St & 8 Ave	Greenwich St & W Houston St	Subscriber	Male	1985
4485367	5/19/2017 8:51	5/19/2017 8:58	433	Broadway & W 56 St	E 47 St & Park Ave	Subscriber	Male	1979
6686290	6/28/2017 20:29	6/28/2017 20:40	603	8 Ave & W 16 St	W 38 St & 8 Ave	Subscriber	Male	1987
6398149	6/24/2017 11:07	6/24/2017 11:13	351	University Pl & E 14 St	W 13 St & Hudson St	Subscriber	Male	1976
2964832	4/17/2017 19:27	4/17/2017 19:41	816	W 84 St & Columbus Ave	W 104 St & Amsterdam Ave	Subscriber	Female	1990
5334757	6/5/2017 12:23	6/5/2017 12:29	368	E 53 St & Madison Ave	E 58 St & 1 Ave	Subscriber	Male	1990
574675	1/26/2017 12:40	1/26/2017 13:06	1574	W 43 St & 6 Ave	Carmine St & 6 Ave	Subscriber	Male	1954
5981682	6/16/2017 13:15	6/16/2017 13:20	324	Broadway & W 36 St	E 41 St & Madison Ave	Subscriber	Male	1992
2897347	4/16/2017 15:23	4/16/2017 15:44	1233	Cleveland Pl & Spring St	S 5 Pl & S 4 St	Customer		
3582305	5/1/2017 13:31	5/1/2017 13:46	881	E 45 St & 3 Ave	W 34 St & 11 Ave	Subscriber	Male	1972
1507415	2/28/2017 18:03	2/28/2017 18:10	418	Columbus Ave & W 103 St	W 106 St & Central Park West	Subscriber	Male	1990
5448406	6/7/2017 16:35	6/7/2017 16:58	1356	E 39 St & 3 Ave	Central Park North & Adam Clayton Powell Blvd	Subscriber	Male	1968
4580791	5/20/2017 21:12	5/20/2017 21:27	852	Vesey Pl & River Terrace	Mercer St & Spring St	Subscriber	Male	1994
5515649	6/8/2017 17:07	6/8/2017 17:21	862	E 39 St & 2 Ave	E 20 St & FDR Drive	Subscriber	Female	1974
4885759	5/27/2017 16:41	5/27/2017 16:58	1027	Washington St & Gansevoort St	West St & Chambers St	Customer	Male	1994
4025507	5/10/2017 10:20	5/10/2017 10:53	2005	E 85 St & 3 Ave	Spruce St & Nassau St	Subscriber	Male	1973
3847598	5/6/2017 15:58	5/6/2017 16:31	1997	Front St & Maiden Ln	Old Fulton St	Customer		
4586817	5/21/2017 8:24	5/21/2017 8:36	723	Avenue D & E 12 St	E 15 St & 3 Ave	Subscriber	Male	1981
3303809	4/25/2017 15:02	4/25/2017 15:18	966	Greenwich St & W Houston St	9 Ave & W 28 St	Subscriber	Female	1980
6722387	6/29/2017 14:29	6/29/2017 15:01	1927	W 78 St & Broadway	W 63 St & Broadway	Subscriber	Female	1971
4731489	5/24/2017 8:32	5/24/2017 9:07	2101	Central Park S & 6 Ave	Central Park S & 6 Ave	Subscriber	Male	1966
6018157	6/17/2017 8:06	6/17/2017 8:35	1727	Pier 40 - Hudson River Park	Pier 40 - Hudson River Park	Customer		
4079228	5/11/2017 9:03	5/11/2017 9:08	338	W 84 St & Broadway	Columbus Ave & W 72 St	Subscriber	Female	1992
87348	1/5/2017 14:30	1/5/2017 14:42	700	E 17 St & Broadway	Avenue D & E 3 St	Subscriber	Male	1986
2184051	3/29/2017 17:23	3/29/2017 17:40	997	Central Park S & 6 Ave	E 88 St & 1 Ave	Subscriber	Male	1988
2855148	4/15/2017 16:12	4/15/2017 16:14	103	Allen St & Rivington St	Stanton St & Chrystie St	Subscriber	Female	1956
1675078	3/6/2017 16:02	3/6/2017 16:24	1339	E 59 St & Madison Ave	W 14 St & The High Line	Subscriber	Male	1963
338034	1/17/2017 6:43	1/17/2017 6:51	519	Pershing Square South	E 25 St & 2 Ave	Subscriber	Female	1990
445709	1/20/2017 19:01	1/20/2017 19:06	330	Stanton St & Chrystie St	MacDougal St & Prince St	Subscriber	Male	1983
